學年度,學校,體系別,設立別,學校,代碼,學校名稱,領域代碼/名稱,學門代碼/名稱,學類代碼/名稱,系學類代碼/名稱,科系代碼,科系名稱,日間/進修別,等級別,學生數總計,男學生數,女學生數
111,一般,公立,0001,國立政治大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系,D 日,D 博士,101,45,56
111,一般,公立,0001,國立政治大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系,D 日,M 碩士,39,15,24
111,一般,公立,0001,國立政治大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系,D 日,B 學士,218,78,140
111,一般,公立,0001,國立政治大學,01 教育領域,011 教育學門,0111 教育學學類,01114 教育行政細學類,01114005,教育行政與政策研究所,D 日,M 碩士,48,14,34
111,一般,公立,0001,國立政治大學,01 教育領域,011 教育學門,0111 教育學學類,01114 教育行政細學類,01114006,學校行政碩士在職專班,N 職,M 碩士,80,28,52
111,一般,公立,0001,國立政治大學,01 教育領域,011 教育學門,0112 幼兒師資教育學類,01121 幼兒師資教育細學類,01121004,幼兒教育研究所,D 日,M 碩士,54,5,49
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,D 博士,63,21,42
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,M 碩士,116,19,97
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,B 學士,184,51,133
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系教育行政碩士在職專班,N 職,M 碩士,59,11,48
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系課程與教學碩士在職專班,N 職,M 碩士,135,18,117
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111112,竹師教育學院學士班,D 日,B 學士,135,58,77
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01113 特殊教育細學類,01113095,特殊教育學系,D 日,M 碩士,59,4,55
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01113 特殊教育細學類,01113095,特殊教育學系,D 日,B 學士,158,27,131
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01113 特殊教育細學類,01113110,學前特殊教育碩士在職學位學程,N 職,M 碩士,10,-,10
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01115 課程與教學細學類,01115124,華德福教育碩士在職學位學程,N 職,M 碩士,24,4,20
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0112 幼兒師資教育學類,01121 幼兒師資教育細學類,01121091,幼兒教育學系,D 日,M 碩士,68,7,61
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0112 幼兒師資教育學類,01121 幼兒師資教育細學類,01121091,幼兒教育學系,D 日,B 學士,162,10,152
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0112 幼兒師資教育學類,01121 幼兒師資教育細學類,01121091,幼兒教育學系,N 職,M 碩士,65,3,62
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0113 普通科目師資教育學類,01131 普通科目師資教育細學類,01131085,數理教育研究所,D 日,M 碩士,76,42,34
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0113 普通科目師資教育學類,01131 普通科目師資教育細學類,01131085,數理教育研究所,N 職,M 碩士,76,20,56
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0113 普通科目師資教育學類,01131 普通科目師資教育細學類,01131085,數理教育研究所數學教育教師碩士在職專班,N 職,M 碩士,4,1,3
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0113 普通科目師資教育學類,01131 普通科目師資教育細學類,01131105,英語教學系,D 日,M 碩士,36,3,33
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0113 普通科目師資教育學類,01131 普通科目師資教育細學類,01131105,英語教學系,D 日,B 學士,174,51,123
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0114 專業科目師資教育學類,01141 專業科目師資教育細學類,01141098,藝術與設計學系美勞教師碩士在職專班,N 職,M 碩士,53,2,51
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0114 專業科目師資教育學類,01141 專業科目師資教育細學類,01141127,運動科學系,D 日,M 碩士,48,22,26
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0114 專業科目師資教育學類,01141 專業科目師資教育細學類,01141127,運動科學系,D 日,B 學士,198,113,85
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0114 專業科目師資教育學類,01141 專業科目師資教育細學類,01141127,運動科學系,N 職,M 碩士,47,22,25
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0119 其他教育學類,01199 其他教育細學類,01199130,竹師教育學院跨領域STEAM教育碩士在職專班,N 職,M 碩士,29,8,21
111,一般,公立,0003,國立臺灣大學,01 教育領域,011 教育學門,0113 普通科目師資教育學類,01131 普通科目師資教育細學類,01131001,華語教學碩士學位學程,D 日,M 碩士,59,7,52
111,一般,公立,0004,國立臺灣師範大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系,D 日,D 博士,67,32,35
111,一般,公立,0004,國立臺灣師範大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系,D 日,M 碩士,78,23,55
111,一般,公立,0004,國立臺灣師範大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系,D 日,B 學士,267,89,178
111,一般,公立,0004,國立臺灣師範大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系教育管理與課程教學領導碩士在職專班,N 職,M 碩士,17,2,15
111,一般,公立,0004,國立臺灣師範大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系教育領導與政策碩士在職專班,N 職,M 碩士,85,18,67
111,一般,公立,0004,國立臺灣師範大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111001,教育學系課程與教學領導碩士在職專班,N 職,M 碩士,3,2,1
